0,0.625,0.675,0.325,0.875,0.125,0.075,0.65,0.625,0.64,0.095,0.505,0.46,0.235,0.68
0.625,0,0.595,0.34,0.835,0.14,0.08,0.86,0.875,0.9,0.135,0.395,0.545,0.275,0.6
0.675,0.595,0,0.37,0.86,0.14,0.07,0.775,0.805,0.905,0.175,0.375,0.55,0.235,0.675
0.325,0.34,0.37,0,0.88,0.06,0.06,0.325,0.315,0.37,0.115,0.225,0.315,0.425,0.77
0.875,0.835,0.86,0.88,0,0.31,0.11,0.755,0.785,0.745,0.105,0.25,0.625,0.41,0.705
0.125,0.14,0.14,0.06,0.31,0,0.065,0.155,0.1,0.12,0.15,0.11,0.195,0.305,0.55
0.075,0.08,0.07,0.06,0.11,0.065,0,0.09,0.095,0.095,0.12,0.115,0.115,0.145,0.305
0.65,0.86,0.775,0.325,0.755,0.155,0.09,0,0.725,0.77,0.155,0.355,0.775,0.395,0.755
0.625,0.875,0.805,0.315,0.785,0.1,0.095,0.725,0,0.815,0.12,0.155,0.745,0.36,0.745
0.64,0.9,0.905,0.37,0.745,0.12,0.095,0.77,0.815,0,0.15,0.2,0.52,0.33,0.69
0.095,0.135,0.175,0.115,0.105,0.15,0.12,0.155,0.12,0.15,0,0.205,0.225,0.31,0.49
0.505,0.395,0.375,0.225,0.25,0.11,0.115,0.355,0.155,0.2,0.205,0,0.195,0.135,0.345
0.46,0.545,0.55,0.315,0.625,0.195,0.115,0.775,0.745,0.52,0.225,0.195,0,0.505,0.715
0.235,0.275,0.235,0.425,0.41,0.305,0.145,0.395,0.36,0.33,0.31,0.135,0.505,0,0.7
0.68,0.6,0.675,0.77,0.705,0.55,0.305,0.755,0.745,0.69,0.49,0.345,0.715,0.7,0
